suite,dataset,seed,method,family,solver_variant,sampling_scheme,subsample_size,selected_c,encoded_feature_count,val_log_loss,test_log_loss,test_roc_auc,test_accuracy,selection_runtime_sec,best_fit_runtime_sec,n_iter,converged
full,breast_cancer,0,sklearn-lbfgs,sklearn,lbfgs,,,0.02932551319648094,30,0.16796780369945602,0.13619808535279765,0.9974160206718347,0.9652173913043478,0.0191403,0.006746400000000041,18,1
full,breast_cancer,0,sklearn-liblinear,sklearn,liblinear,,,0.02932551319648094,30,0.1699450151299291,0.13720321123090412,0.9977390180878553,0.9826086956521739,0.003182499999999977,0.001097099999999962,9,1
full,breast_cancer,0,sklearn-saga,sklearn,saga,,,0.02932551319648094,30,0.16796779844742266,0.13619808284201096,0.9974160206718347,0.9652173913043478,0.0377308999999999,0.022708299999999904,204,1
full,breast_cancer,0,ifsn-safe-fixed-s32,ifsn,safe,fixed,32,10.0,30,0.16802328775922673,0.15110868916450718,0.9938630490956072,0.9391304347826087,1.4766335000000002,0.6472081000000001,200,0
full,breast_cancer,0,ifsn-safe-fixed-s64,ifsn,safe,fixed,64,10.0,30,0.1751180164262718,0.14081894519357813,0.9958010335917312,0.9478260869565217,1.3995536,0.32509129999999997,200,0
full,breast_cancer,0,ifsn-safe-fixed-s128,ifsn,safe,fixed,128,10.0,30,0.16637041119389234,0.13383187701444527,0.9958010335917312,0.9478260869565217,1.7310738999999993,0.8936437999999995,200,0
full,breast_cancer,0,ifsn-safe-fixed-full,ifsn,safe,fixed,,10.0,30,0.1679678012084177,0.13619808424315702,0.9974160206718347,0.9652173913043478,0.05837859999999928,0.02589169999999985,6,1
full,breast_cancer,0,ifsn-safe-fresh-s32,ifsn,safe,fresh,32,10.0,30,0.1691473699682282,0.1384703032936505,0.9974160206718347,0.9652173913043478,1.4909235,0.5011951999999997,200,0
full,breast_cancer,0,ifsn-safe-fresh-s64,ifsn,safe,fresh,64,10.0,30,0.1681033000355469,0.13735117535575223,0.9974160206718347,0.9652173913043478,1.6981185999999981,0.5422155999999987,200,0
full,breast_cancer,0,ifsn-safe-fresh-s128,ifsn,safe,fresh,128,10.0,30,0.16817269137422072,0.1369844845831381,0.9974160206718347,0.9652173913043478,2.022416100000001,0.6841456000000008,200,0
full,breast_cancer,0,ifsn-safe-fresh-full,ifsn,safe,fresh,,10.0,30,0.1679678012084177,0.13619808424315702,0.9974160206718347,0.9652173913043478,0.05347660000000154,0.02480690000000152,6,1
full,breast_cancer,0,ifsn-reference-fixed-s32,ifsn,reference,fixed,32,10.0,30,0.16781324323221866,0.1507649339448385,0.9938630490956072,0.9391304347826087,0.009048800000000412,0.003884000000001109,7,1
full,breast_cancer,0,ifsn-reference-fixed-s64,ifsn,reference,fixed,64,10.0,30,0.17511801642627184,0.14081894519357818,0.9958010335917312,0.9478260869565217,0.013470599999999777,0.005845799999999457,7,1
full,breast_cancer,0,ifsn-reference-fixed-s128,ifsn,reference,fixed,128,10.0,30,0.16622491909217416,0.13344293701281426,0.9958010335917312,0.9478260869565217,0.022867700000000823,0.009961200000001114,7,1
full,breast_cancer,0,ifsn-reference-fixed-full,ifsn,reference,fixed,,10.0,30,0.16796780119542287,0.13619808421863133,0.9974160206718347,0.9652173913043478,0.05661079999999963,0.02451660000000011,7,1
full,breast_cancer,0,ifsn-reference-fresh-s32,ifsn,reference,fresh,32,10.0,30,0.21580401139223185,0.17049267192707282,0.9893410852713178,0.9391304347826087,0.3312790999999997,0.11115129999999951,200,0
full,breast_cancer,0,ifsn-reference-fresh-s64,ifsn,reference,fresh,64,10.0,30,0.20384798575888557,0.19163426072470513,0.9945090439276486,0.9304347826086956,0.502645900000001,0.16689869999999907,200,0
full,breast_cancer,0,ifsn-reference-fresh-s128,ifsn,reference,fresh,128,10.0,30,0.18872382199456406,0.14736244338276502,0.9951550387596899,0.9391304347826087,0.9397855999999987,0.31088059999999906,200,0
full,breast_cancer,0,ifsn-reference-fresh-full,ifsn,reference,fresh,,10.0,30,0.16796780119542287,0.13619808421863133,0.9974160206718347,0.9652173913043478,0.05766280000000279,0.025274400000000696,7,1
full,breast_cancer,1,sklearn-lbfgs,sklearn,lbfgs,,,0.02932551319648094,30,0.12783292200843138,0.12614317247006707,0.9964470284237726,0.9739130434782609,0.015146500000000174,0.0053274999999999295,19,1
full,breast_cancer,1,sklearn-liblinear,sklearn,liblinear,,,0.02932551319648094,30,0.1341338242954525,0.1324031157505222,0.9958010335917312,0.9826086956521739,0.0031197999999985626,0.0010730999999992719,8,1
full,breast_cancer,1,sklearn-saga,sklearn,saga,,,0.02932551319648094,30,0.12783292569493687,0.12614317909609982,0.9964470284237726,0.9739130434782609,0.030221899999999025,0.01620130000000053,178,1
full,breast_cancer,1,ifsn-safe-fixed-s32,ifsn,safe,fixed,32,10.0,30,0.17868107740420427,0.15690276260825067,0.9977390180878553,0.9826086956521739,0.6294875999999991,0.22310489999999916,200,0
full,breast_cancer,1,ifsn-safe-fixed-s64,ifsn,safe,fixed,64,10.0,30,0.15080355224801525,0.150553655935862,0.9958010335917312,0.9739130434782609,2.099547600000001,0.6980181999999999,200,0
full,breast_cancer,1,ifsn-safe-fixed-s128,ifsn,safe,fixed,128,10.0,30,0.12774501520926942,0.12509819150187482,0.997093023255814,0.9739130434782609,2.006838400000003,0.8034129000000014,200,0
full,breast_cancer,1,ifsn-safe-fixed-full,ifsn,safe,fixed,,10.0,30,0.12783292385557832,0.12614317689393423,0.9964470284237726,0.9739130434782609,0.05025959999999685,0.023241299999998688,6,1
