dataset,method,runs,mean_log_loss,std_log_loss,mean_roc_auc,std_roc_auc,mean_accuracy,std_accuracy,mean_runtime_sec,std_runtime_sec,mean_n_iter,std_n_iter,convergence_rate
breast_cancer,ifsn-reference-fixed-full,5,0.13732652721837488,0.021791444342978132,0.9947674418604651,0.004468117949816681,0.9652173913043478,0.01982913782781113,0.056823619999999055,0.00201863726052992,7.0,0.0,1.0
breast_cancer,ifsn-reference-fixed-s128,5,0.1391535924415185,0.024099973982070314,0.9930232558139535,0.0058874198398265725,0.9634782608695651,0.0215820411234624,0.023059320000001195,0.0005221127288243734,7.0,0.0,1.0
breast_cancer,ifsn-reference-fixed-s32,5,0.15020928834486874,0.012798441023844469,0.9943152454780361,0.005010521816450956,0.9634782608695651,0.016861495156230717,0.009014780000000755,0.0005564604366874499,6.8,0.39999999999999997,1.0
breast_cancer,ifsn-reference-fixed-s64,5,0.14625801639493155,0.018648531115033916,0.9928294573643409,0.005610865827030596,0.9582608695652175,0.01686149515623074,0.01416711999999869,0.0008316493453372231,7.0,0.0,1.0
breast_cancer,ifsn-reference-fresh-full,5,0.13732652721837488,0.021791444342978132,0.9947674418604651,0.004468117949816681,0.9652173913043478,0.01982913782781113,0.05899892000000122,0.002502501313807124,7.0,0.0,1.0
breast_cancer,ifsn-reference-fresh-s128,5,0.14777408781436413,0.024335978949024728,0.9925710594315245,0.005557057666048195,0.9582608695652173,0.02013189026572214,0.9068316600000006,0.04914862790221547,200.0,0.0,0.0
breast_cancer,ifsn-reference-fresh-s32,5,0.17884206742006434,0.053504378449810076,0.9892118863049095,0.009344846116230513,0.9408695652173913,0.03272154386474221,0.32569640000000033,0.00843765034662943,200.0,0.0,0.0
breast_cancer,ifsn-reference-fresh-s64,5,0.16543755265184493,0.029847069167813867,0.9926356589147287,0.0055284477765722715,0.9565217391304348,0.02199845328812788,0.5162424600000015,0.012675727989917392,200.0,0.0,0.0
breast_cancer,ifsn-safe-fixed-full,5,0.1373265272361552,0.02179144434938862,0.9947674418604651,0.004468117949816681,0.9652173913043478,0.01982913782781113,0.05492127999999959,0.0036032854937708613,6.0,0.0,1.0
breast_cancer,ifsn-safe-fixed-s128,5,0.14122193233786487,0.025798948424044565,0.9930878552971576,0.005929796249283154,0.9634782608695651,0.0215820411234624,2.0845367600000015,0.2568541773433213,200.0,0.0,0.0
breast_cancer,ifsn-safe-fixed-s32,5,0.15229398340024175,0.01278246051723808,0.9943152454780361,0.005010521816450956,0.9634782608695651,0.016861495156230717,1.060112080000001,0.5067507360408761,200.0,0.0,0.0
